supplier_id,record_date,severity_level,category_of_violation,root_cause_category,corrective_actions_suggested,affected_product,process_involved,tone_of_letter,length_of_letter,deadline_for_resolution,resolution_status,follow_up_actions
S1,2023-12-19,Moderate,Quality,Process Failure,1,Product A,Packaging,Urgent,188,18,Unresolved,1
S1,2023-07-25,Critical,Safety,Process Failure,0,Product C,Shipping,Warning,764,17,Resolved,0
S1,2023-08-17,Moderate,Quality,Human Error,1,Product D,Shipping,Warning,297,6,Unresolved,0
S1,2024-07-06,Moderate,Regulatory,Equipment Malfunction,0,Product A,Packaging,Urgent,330,27,Resolved,1
S1,2023-10-18,Minor,Safety,Human Error,0,Product C,Packaging,Urgent,295,22,Pending,1
S1,2023-08-03,Critical,Quality,Human Error,1,Product B,Packaging,Warning,914,4,Resolved,1
S1,2023-02-05,Critical,Safety,Human Error,0,Product C,Manufacturing,Formal,229,27,Unresolved,0
S1,2024-03-15,Moderate,Documentation,Equipment Malfunction,0,Product D,Shipping,Urgent,941,8,Pending,1
S1,2023-01-20,Critical,Documentation,Process Failure,1,Product C,Manufacturing,Urgent,240,8,Pending,1
S1,2023-04-19,Critical,Regulatory,Human Error,1,Product A,Manufacturing,Warning,205,17,Unresolved,1
S1,2024-11-11,Minor,Quality,Human Error,1,Product C,Shipping,Formal,913,5,Resolved,1
S1,2023-04-20,Moderate,Documentation,Human Error,0,Product C,Testing,Warning,470,8,Unresolved,0
S1,2023-10-28,Minor,Safety,Human Error,1,Product D,Packaging,Formal,765,9,Unresolved,0
S1,2024-05-02,Minor,Quality,Equipment Malfunction,1,Product B,Shipping,Urgent,574,2,Unresolved,0
S1,2023-04-02,Critical,Documentation,Equipment Malfunction,0,Product B,Manufacturing,Formal,279,6,Resolved,1
S1,2024-07-24,Minor,Safety,Equipment Malfunction,0,Product B,Testing,Urgent,568,17,Unresolved,0
S1,2024-10-09,Minor,Safety,Process Failure,1,Product D,Shipping,Formal,459,17,Unresolved,0
S1,2024-08-13,Moderate,Documentation,Equipment Malfunction,0,Product D,Shipping,Urgent,131,29,Resolved,0
S1,2023-09-12,Moderate,Regulatory,Equipment Malfunction,1,Product A,Testing,Warning,274,18,Pending,1
S1,2024-09-10,Moderate,Quality,Process Failure,0,Product C,Manufacturing,Formal,363,29,Unresolved,0
S1,2023-03-30,Moderate,Quality,Equipment Malfunction,1,Product B,Manufacturing,Formal,186,23,Pending,0
S1,2024-01-18,Minor,Safety,Equipment Malfunction,0,Product D,Shipping,Warning,866,29,Pending,0
S1,2024-05-07,Minor,Documentation,Equipment Malfunction,0,Product D,Shipping,Urgent,902,24,Pending,1
S1,2024-09-03,Moderate,Documentation,Human Error,1,Product A,Testing,Warning,922,16,Pending,0
S1,2024-02-06,Critical,Safety,Equipment Malfunction,0,Product C,Manufacturing,Formal,647,29,Pending,1
S1,2023-01-23,Critical,Quality,Equipment Malfunction,1,Product C,Shipping,Warning,495,20,Resolved,0
S1,2024-04-20,Moderate,Safety,Process Failure,0,Product D,Shipping,Urgent,953,12,Resolved,1
S1,2024-07-27,Critical,Quality,Equipment Malfunction,1,Product D,Packaging,Urgent,214,17,Pending,0
S1,2023-06-29,Moderate,Safety,Human Error,0,Product A,Testing,Urgent,334,14,Pending,1
S1,2024-12-03,Minor,Quality,Equipment Malfunction,0,Product C,Testing,Urgent,227,21,Pending,1
S1,2024-11-21,Moderate,Quality,Human Error,0,Product A,Testing,Urgent,687,23,Resolved,1
S1,2024-01-25,Minor,Documentation,Human Error,0,Product B,Shipping,Urgent,367,13,Resolved,0
S1,2023-10-04,Moderate,Safety,Human Error,1,Product A,Manufacturing,Urgent,733,14,Pending,1
S1,2024-01-04,Minor,Documentation,Human Error,1,Product C,Testing,Formal,248,11,Unresolved,1
S1,2023-02-25,Minor,Documentation,Equipment Malfunction,1,Product C,Testing,Urgent,154,15,Pending,1
S1,2024-10-24,Minor,Quality,Equipment Malfunction,1,Product C,Shipping,Warning,948,27,Resolved,0
S1,2023-09-07,Minor,Quality,Process Failure,0,Product A,Packaging,Formal,740,25,Resolved,0
S1,2023-04-26,Moderate,Safety,Equipment Malfunction,0,Product C,Testing,Formal,207,12,Unresolved,1
S1,2024-09-21,Moderate,Regulatory,Equipment Malfunction,0,Product D,Shipping,Warning,916,29,Resolved,1
S1,2023-06-12,Critical,Safety,Equipment Malfunction,1,Product B,Manufacturing,Warning,875,21,Resolved,0
S1,2023-09-04,Moderate,Regulatory,Process Failure,1,Product A,Testing,Formal,367,15,Unresolved,1
