Unnamed: 0,Posted Date,Letter Issue Date,Company Name,Issuing Office,Subject,Response Letter,Closeout Letter,Excerpt,Link,Delivery Method,Reference #,Product,Issuing Office,Company Info,Violations
0,02/04/2025,01/23/2025,Center for Instrumental Analysis of China Pharmaceutical University,Center for Drug Evaluation and Research (CDER),CGMP/Active Pharmaceutical Ingredient (API)/Adulterated,,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/center-instrumental-analysis-china-pharmaceutical-university-696906-01232025,VIA Electronic Mail,320-25-32,Drugs,Center for Drug Evaluation and Research (CDER),"{'company_name': 'Center for Instrumental Analysis of China Pharmaceutical University \n            \n      \n                  MARCS-CMS 696906 —           January 23, 2025', 'recipient_name': 'Mr. Wenbin Shen', 'address_line1': 'No. 24 Tongjiaxing Road', 'address_line2': 'China Pharmaceutical University', 'locality': 'Nanjing Shi', 'administrative_area': 'Jiangsu Sheng', 'postal_code': '210009', 'country': 'China'}",Failure to have laboratory control records that include complete data derived from all laboratory tests conducted to ;Failure of your quality unit to 
1,02/04/2025,01/27/2025,"Imperial Palace Commodity -Dongguan- Co., Ltd.",Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/imperial-palace-commodity-dongguan-co-ltd-692842-01272025,VIA Electronic Mail,320-25-33,Drugs,Center for Drug Evaluation and Research (CDER),"{'company_name': 'Imperial Palace Commodity -Dongguan- Co., Ltd.\n            \n      \n                  MARCS-CMS 692842 —           January 27, 2025', 'recipient_name': 'Mr. Alan Xu', 'address_line1': 'No. 523 1st Liudong Road', 'address_line2': 'Changlong Village', 'locality': 'Dongguan Shi', 'administrative_area': 'Guangdong Sheng', 'postal_code': '523750', 'country': 'China'}","failed to test samples of each component for identity and conformity with all appropriate written specifications for purity, strength, and quality. Your firm also failed to ;failed to establish adequate written procedures for production and process control designed to assure that the drug products you manufacture have the identity, strength, quality, and purity they purport or are represented to ;failed to establish laboratory controls that include scientifically sound and appropriate specifications, standards, sampling plans, and test procedures designed to assure that components, drug product containers, closures, in-process materials, labeling, and drug products conform to ;failed to establish an adequate quality control unit with the responsibility and authority to "
2,02/04/2025,01/17/2025,BioStem Life Sciences,Center for Biologics Evaluation and Research (CBER),"Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps)",,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/biostem-life-sciences-673788-01172025,VIA UPS and Electronic Mail,CBER 25-673788,Biologics,Center for Biologics Evaluation and Research (CBER),"{'company_name': 'BioStem Life Sciences\n            \n      \n                  MARCS-CMS 673788 —           January 17, 2025', 'recipient_name': 'Jason V. Matuszewski', 'address_line1': '2836 Center Port Circle', 'address_line2': 'Not found', 'locality': 'Pompano Beach', 'administrative_area': 'FL', 'postal_code': '33064', 'country': 'United States'}","failed to establish an adequate system for monitoring environmental conditions in aseptic processing areas to ;failed to establish an adequate system for cleaning and disinfecting the room and equipment to ;failed to establish adequate written procedures for production and process control designed to assure that the drug products have the identity, strength, quality, and purity they purport or are represented to ;failed to establish laboratory controls that include scientifically sound and appropriate specifications designed to assure that drug products conform to ;failed to establish and follow an adequate written testing program designed to assess the stability characteristics of drug products and to use results of stability testing to "
3,02/04/2025,12/19/2024,"Fagron Compounding Services, LLC dba Fagron Sterile Service",Center for Drug Evaluation and Research (CDER),Compounding Pharmacy/Adulterated Drug Products,,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fagron-compounding-services-llc-dba-fagron-sterile-service-698861-12192024,VIA Electronic Mail,,Drugs,Center for Drug Evaluation and Research (CDER),"{'company_name': 'Fagron Compounding Services, LLC dba Fagron Sterile Service\n            \n      \n                  MARCS-CMS 698861 —           December 19, 2024', 'recipient_name': 'Jason McGuire', 'address_line1': '8710 East 34th Street North', 'address_line2': 'Not found', 'locality': 'Wichita', 'administrative_area': 'KS', 'postal_code': '67226-2636', 'country': 'United States'}",Failure to 
4,02/04/2025,01/16/2025,Global Calcium Pvt. Limited,Center for Drug Evaluation and Research (CDER),CGMP/Active Pharmaceutical Ingredient (API)/Adulterated,,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/global-calcium-pvt-limited-692000-01162025,Via Electronic Mail - Delivery and Read Receipt Requested,320-25-30,Drugs,Center for Drug Evaluation and Research (CDER),"{'company_name': 'Global Calcium Pvt. Limited\n            \n      \n                  MARCS-CMS 692000 —           January 16, 2025', 'recipient_name': 'Mr. Arif Vazirally', 'address_line1': 'No. 882, 6th Cross, 6th Block', 'address_line2': 'Koramangala', 'locality': 'Bengaluru', 'administrative_area': 'Not found', 'postal_code': '560095', 'country': 'India'}","Failure of your quality unit to prepare, review, and approve documents related to ;Failure to ;Failure to "
5,02/04/2025,01/28/2025,"Shantou Kangjie Daily Chemical Industry Co., Ltd",Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/shantou-kangjie-daily-chemical-industry-co-ltd-698223-01282025,VIA UPS,320-25-34,Drugs,Center for Drug Evaluation and Research (CDER),"{'company_name': 'Shantou Kangjie Daily Chemical Industry Co., Ltd\n            \n      \n                  MARCS-CMS 698223 —           January 28, 2025', 'recipient_name': 'Fang Yongliang', 'address_line1': 'Kangjie Company, Xiangang Road', 'address_line2': 'Simapu Town', 'locality': 'Shantou Shi', 'administrative_area': 'Guangdong Sheng', 'postal_code': '515000', 'country': 'China'}",failed to conduct at least one test to ;failed to establish an adequate quality control unit with the responsibility and authority to 
6,02/04/2025,01/13/2025,"Talla Imports, LLC",Office of Inspections and Investigations,Foreign Supplier Verification Program (FSVP),,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/talla-imports-llc-699044-01132025,VIA EMAIL AND UNITED PARCEL SERVICE,,Food & Beverages,Office of Inspections and Investigations,"{'company_name': 'Talla Imports, LLC\n            \n      \n                  MARCS-CMS 699044 —           January 13, 2025', 'recipient_name': 'Mr. Karl Rasmussen', 'address_line1': '14420 Ewing Ave. S.', 'address_line2': 'Not found', 'locality': 'Burnsville', 'administrative_area': 'MN', 'postal_code': '55306', 'country': 'United States'}",
7,01/28/2025,01/16/2025,"Mihon Corp. d/b/a VitalityVita and Boulla, LLC",Center for Drug Evaluation and Research (CDER),Unapproved New Drugs/Misbranded,,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mihon-corp-dba-vitalityvita-and-boulla-llc-698165-01162025,Via Email,,Drugs,Center for Drug Evaluation and Research (CDER),"{'company_name': 'Mihon Corp. d/b/a VitalityVita and Boulla, LLC\n            \n      \n                  MARCS-CMS 698165 —           January 16, 2025', 'recipient_name': 'Michael Lee', 'address_line1': '1332 4th St. Suite B', 'address_line2': 'Not found', 'locality': 'Berkeley', 'administrative_area': 'CA', 'postal_code': '94710', 'country': 'United States'}",
8,01/28/2025,01/17/2025,"Chara Biologics, Inc.",Center for Biologics Evaluation and Research (CBER),CGMP/Deviations/Biologics License Application (BLA),,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/chara-biologics-inc-698004-01172025,VIA UPS and Electronic Mail,CBER-25-698004,Biologics,Center for Biologics Evaluation and Research (CBER),"{'company_name': 'Chara Biologics, Inc.\n            \n      \n                  MARCS-CMS 698004 —           January 17, 2025', 'recipient_name': 'Joy Kong, M.D.', 'address_line1': '9568 Topanga Canyon Blvd., Suite 104', 'address_line2': 'Not found', 'locality': 'Chatsworth', 'administrative_area': 'CA', 'postal_code': '91311', 'country': 'United States'}","failed to establish a quality unit with the responsibility and authority to approve or reject all labeling and drug products, and the responsibilities and procedures applicable to "
9,01/28/2025,01/17/2025,"Americo F. Padilla, M.D./Miami Dade Medical Research Institute",Center for Drug Evaluation and Research (CDER),Clinical Investigator,,,,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/americo-f-padilla-mdmiami-dade-medical-research-institute-700447-01172025,VIA UNITED PARCEL SERVICE AND VIA E-MAIL,25-HFD-45-01-01,Drugs,Center for Drug Evaluation and Research (CDER),"{'company_name': 'Americo F. Padilla, M.D./Miami Dade Medical Research Institute\n            \n      \n                  MARCS-CMS 700447 —           January 17, 2025', 'recipient_name': 'Not found', 'address_line1': '8955 Southwest 87th Court, Suite 110', 'address_line2': 'Not found', 'locality': 'Miami', 'administrative_area': 'FL', 'postal_code': '33176-2264', 'country': 'United States'}",failed to 
